# Sightings per day near the location, exported by the offline analysis.
# Source: data/analysis/2026-09-08_2026-09-14 (15 NM, 2026-09-08..14). Regenerate with: python -m airframe.analysis
# then copy traffic_frequency_15nm.csv here. Used by scoring.py for rarity.
kind,key,per_day
type,B788,6.571
type,B789,6.143
type,F2TH,6.143
type,PC12,6.143
type,GLF4,6.0
type,LJ45,6.0
type,GLF5,5.571
type,SR22,5.571
type,FA20,5.429
type,B753,5.286
type,BE35,5.143
type,M20P,5.143
type,DH8D,5.0
type,GLEX,5.0
type,A20N,4.857
type,C560,4.857
type,GA6C,4.714
type,C750,4.571
type,F900,4.571
type,A359,4.429
type,A333,4.143
type,C680,4.143
type,G280,4.143
type,EC55,4.0
type,C25B,3.857
type,GLF6,3.857
type,B77L,3.714
type,BE20,3.714
type,CRJ2,3.714
type,C25C,3.571
type,C72R,3.571
type,CRUZ,3.571
type,B772,3.429
type,BE40,3.429
type,S22T,3.429
type,TBM7,3.143
type,B77W,3.0
type,C550,3.0
type,C700,3.0
type,E550,3.0
type,B78X,2.857
type,C182,2.714
type,C25A,2.714
type,E120,2.571
type,A306,2.429
type,MD88,2.429
type,PC24,2.429
type,SR20,2.429
type,BE9L,2.286
type,C310,2.286
type,LJ60,2.286
type,BE36,2.143
type,P32R,2.143
type,P46T,2.143
type,PA32,2.143
type,SF50,2.143
type,B744,2.0
type,E295,2.0
type,LJ35,2.0
type,A339,1.857
type,B350,1.857
type,GA5C,1.857
type,PA18,1.714
type,AA5,1.571
type,A332,1.429
type,AS50,1.429
type,C82S,1.429
type,E190,1.429
type,P28R,1.429
type,A35K,1.286
type,B764,1.286
type,BE30,1.286
type,BE58,1.286
type,C170,1.286
type,C414,1.286
type,C510,1.286
type,C650,1.286
type,C82R,1.286
type,E75S,1.286
type,FA50,1.286
type,GALX,1.286
type,GL7T,1.286
type,RV7,1.286
type,S108,1.286
type,SA30,1.286
type,SW4,1.286
type,B430,1.143
type,B748,1.143
type,FA7X,1.143
type,G150,1.143
type,GL5T,1.143
type,LJ31,1.143
type,PA24,1.143
type,PA30,1.143
type,PA31,1.143
type,PA34,1.143
type,RV6,1.143
type,B722,1.0
type,C82T,1.0
type,E50P,1.0
type,P28B,1.0
type,PA22,1.0
type,C208,0.857
type,C210,0.857
type,C421,0.857
type,M7,0.857
type,P180,0.857
type,P208,0.857
type,R44,0.857
type,AC11,0.714
type,AC50,0.714
type,B25,0.714
type,B734,0.714
type,BPAT,0.714
type,C120,0.714
type,C17,0.714
type,C340,0.714
type,EA50,0.714
type,YK52,0.714
type,B47G,0.571
type,BE23,0.571
type,BE55,0.571
type,BE9T,0.571
type,C180,0.571
type,C525,0.571
type,C77R,0.571
type,CH7A,0.571
type,DC3,0.571
type,DIMO,0.571
type,E110,0.571
type,E35L,0.571
type,EC35,0.571
type,EC45,0.571
type,GLAS,0.571
type,HDJT,0.571
type,J5,0.571
type,PA46,0.571
type,RELI,0.571
type,A343,0.429
type,ALIG,0.429
type,ASTR,0.429
type,BE95,0.429
type,BL17,0.429
type,C177,0.429
type,C303,0.429
type,CH2T,0.429
type,CH7B,0.429
type,COL3,0.429
type,DH8C,0.429
type,EVSS,0.429
type,GA4C,0.429
type,GLF2,0.429
type,K35R,0.429
type,PA25,0.429
type,PA38,0.429
type,R66,0.429
type,RV12,0.429
type,RV8,0.429
type,T18,0.429
type,A30B,0.286
type,B407,0.286
type,BE60,0.286
type,BT36,0.286
type,C30J,0.286
type,C335,0.286
type,C337,0.286
type,C501,0.286
type,CTAH,0.286
type,E195,0.286
type,EC20,0.286
type,EC30,0.286
type,GA7C,0.286
type,H25C,0.286
type,L8,0.286
type,LA4,0.286
type,LJ40,0.286
type,LNP4,0.286
type,M600,0.286
type,MD83,0.286
type,P8,0.286
type,PA11,0.286
type,RV10,0.286
type,RV4,0.286
type,ST75,0.286
type,T206,0.286
type,WACF,0.286
type,A310,0.143
type,AEST,0.143
type,AR15,0.143
type,B06,0.143
type,B733,0.143
type,B742,0.143
type,B762,0.143
type,BE10,0.143
type,BE33,0.143
type,BE99,0.143
type,C140,0.143
type,C175,0.143
type,C185,0.143
type,C206,0.143
type,C402,0.143
type,C441,0.143
type,C5M,0.143
type,COL4,0.143
type,CVLP,0.143
type,DC91,0.143
type,E135,0.143
type,E145,0.143
type,E390,0.143
type,EPIC,0.143
type,FA6X,0.143
type,FA8X,0.143
type,GA8C,0.143
type,GLID,0.143
type,H47,0.143
type,HA4T,0.143
type,LJ55,0.143
type,LNC4,0.143
type,MG17,0.143
type,MU2,0.143
type,PA23,0.143
type,PA44,0.143
type,R22,0.143
type,RV9,0.143
type,S61,0.143
type,S76,0.143
type,SB20,0.143
type,SF34,0.143
type,ST30,0.143
type,T34P,0.143
type,TBM8,0.143
